00:58:10    0.003  TX 00 02   # host open
00:58:10    0.041     RX 1f  BYTE
00:58:11    1.026  TX 0e 44   # mode reg 0x44: paddle echo + serial echo, iambic B
00:58:11    1.047  TX 05 0a 1e 00   # pot setup: min 10 WPM, range 30
00:58:11    1.088  TX 04 00 00   # lead/tail 0
00:58:11    1.119  TX 07   # get pot (baseline)
00:58:11    1.130  ===== PHASE A (0-120 s): turn the POT; tap the paddle idle =====
00:58:11    1.141     RX 90  POT 16
00:58:13    3.054     RX 8f  POT 15
00:58:13    3.086     RX 8e  POT 14
00:58:13    3.133     RX 8d  POT 13
00:58:13    3.165     RX 8c  POT 12
00:58:13    3.197     RX 8b  POT 11
00:58:13    3.229     RX 8a  POT 10
00:58:13    3.261     RX 89  POT 9
00:58:13    3.309     RX 88  POT 8
00:58:13    3.341     RX 87  POT 7
00:58:13    3.373     RX 86  POT 6
00:58:13    3.405     RX 85  POT 5
00:58:13    3.436     RX 84  POT 4
00:58:14    3.548     RX 83  POT 3
00:58:14    3.755     RX 84  POT 4
00:58:14    3.803     RX 85  POT 5
00:58:14    3.835     RX 86  POT 6
00:58:14    3.851     RX 87  POT 7
00:58:14    3.867     RX 88  POT 8
00:58:14    3.883     RX 89  POT 9
00:58:14    3.899     RX 8a  POT 10
00:58:14    3.899     RX 8b  POT 11
00:58:14    3.915     RX 8c  POT 12
00:58:14    3.946     RX 8d  POT 13
00:58:14    3.947     RX 8e  POT 14
00:58:14    3.978     RX 8f  POT 15
00:58:14    3.994     RX 90  POT 16
00:58:14    3.995     RX 91  POT 17
00:58:14    4.042     RX 92  POT 18
00:58:14    4.090     RX 93  POT 19
00:58:14    4.377     RX c6  STATUS BUSY|BREAKIN
00:58:16    5.588     RX 94  POT 20
00:58:16    5.588     RX 95  POT 21
00:58:16    5.604     RX 96  POT 22
00:58:16    5.779     RX 97  POT 23
00:58:16    5.907     RX 98  POT 24
00:58:16    6.082     RX 99  POT 25
00:58:16    6.242     RX 9a  POT 26
00:58:16    6.306     RX 9b  POT 27
00:58:17    6.560     RX 9a  POT 26
00:58:17    6.608     RX 99  POT 25
00:58:17    6.640     RX 98  POT 24
00:58:17    6.672     RX 97  POT 23
00:58:17    6.688     RX 96  POT 22
00:58:17    6.704     RX 23  ECHO '#'
00:58:17    6.720     RX 95  POT 21
00:58:17    6.736     RX 94  POT 20
00:58:17    6.768     RX 93  POT 19
00:58:17    6.768     RX 92  POT 18
00:58:17    6.799     RX 91  POT 17
00:58:17    6.816     RX 90  POT 16
00:58:17    6.847     RX 8f  POT 15
00:58:17    6.863     RX 8e  POT 14
00:58:17    6.911     RX 8d  POT 13
00:58:17    6.943     RX 8c  POT 12
00:58:17    6.975     RX 8b  POT 11
00:58:17    7.008     RX 8a  POT 10
00:58:17    7.023     RX 89  POT 9
00:58:17    7.039     RX 88  POT 8
00:58:17    7.055     RX 87  POT 7
00:58:17    7.072     RX 86  POT 6
00:58:17    7.086     RX 85  POT 5
00:58:17    7.086     RX 84  POT 4
00:58:17    7.103     RX 20  ECHO ' '
00:58:17    7.118     RX 83  POT 3
00:58:17    7.134     RX 82  POT 2
00:58:17    7.166     RX 81  POT 1
00:58:17    7.182     RX c4  STATUS BUSY
00:58:17    7.198     RX c0  STATUS idle
00:58:18    7.581     RX c6  STATUS BUSY|BREAKIN
