   0.023  TX 00 02   # host open
   0.023  -- watch 1.5s: version
   0.038     RX 17  BYTE
   1.528  TX 0e 44   # mode reg 0x44: paddle echo + serial echo, iambic B
   1.528  -- watch 0.5s: 
   2.034  TX 02 14   # speed 20 WPM
   2.034  -- watch 0.5s: 
   2.537  TX 04 00 00   # PTT lead/tail 0 (so status timing is keying only)
   2.537  -- watch 0.5s: 
   3.039  TX 15   # status idle
   3.039  -- watch 0.5s: 
   3.051     RX c0  STATUS 11000000 (low5=00000)
   3.541  TX 50 41 52 49 53 20 45   # text PARIS E
   3.541  -- watch 0.7s: early in send
   3.594     RX c4  STATUS 11000100 (low5=00100)
   4.245  TX 15   # status while sending
   4.245  -- watch 6.0s: rest of send + idle
   4.274     RX c4  STATUS 11000100 (low5=00100)
   4.504     RX 50  ECHO 'P'
   4.504     RX 41  ECHO 'A'
   4.504     RX 52  ECHO 'R'
   4.504     RX 49  ECHO 'I'
   4.504     RX 53  ECHO 'S'
   4.504     RX 20  ECHO ' '
   4.504     RX 45  ECHO 'E'
   4.504     RX c0  STATUS 11000000 (low5=00000)
  10.247  TX 04 05 0a   # PTT lead 50 ms / tail 100 ms
  10.247  -- watch 0.3s: 
  10.551  TX 45 45   # text EE with lead/tail
  10.551  -- watch 2.5s: lead/tail status
  10.568     RX 45  ECHO 'E'
  10.575     RX 45  ECHO 'E'
  10.585     RX c4  STATUS 11000100 (low5=00100)
  10.876     RX c0  STATUS 11000000 (low5=00000)
  13.055  TX 18 01   # PTT on
  13.055  -- watch 0.8s: 
  13.859  TX 15   # status PTT on
  13.859  -- watch 0.5s: 
  13.868     RX c0  STATUS 11000000 (low5=00000)
  14.363  TX 18 00   # PTT off
  14.363  -- watch 0.8s: 
  15.165  TX 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20 54 45 53 54 20   # 150 bytes to fill buffer
  15.165  -- watch 3.0s: buffer high-water / XOFF
  15.196     RX 54  ECHO 'T'
  15.212     RX c4  STATUS 11000100 (low5=00100)
  15.252     RX 45  ECHO 'E'
  15.266     RX 53  ECHO 'S'
  15.275     RX 54  ECHO 'T'
  15.291     RX 20  ECHO ' '
  15.300     RX 54  ECHO 'T'
