01:17:06    0.032  TX 00 02   # host open
01:17:06    0.057     RX 17  BYTE
01:17:07    1.035  TX 0e 44   # mode reg 0x44: paddle echo + serial echo, iambic B
01:17:07    1.035  TX 05 0a 1e 00   # pot setup: min 10 WPM, range 30
01:17:07    1.036  TX 04 00 00   # lead/tail 0
01:17:07    1.036  TX 07   # get pot (baseline)
01:17:07    1.037  ===== PHASE A (0-120 s): turn the POT; tap the paddle idle =====
01:17:07    1.080     RX 8c  POT 12
01:17:07    1.088     RX 8e  POT 14
01:18:23   76.886     RX c4  STATUS BUSY
01:18:24   77.905     RX c0  STATUS idle
01:19:06  120.005  ===== PHASE B (120-240 s): keyer sends TEST at 12 WPM; squeeze paddle to break in =====
01:19:06  120.005  TX 02 0c   # 12 WPM
01:19:06  120.011  TX 54 45 53 54 20   # text
01:19:06  120.094     RX c4  STATUS BUSY
01:19:07  120.791     RX 54  ECHO 'T'
01:19:07  120.805     RX 45  ECHO 'E'
01:19:07  120.806     RX 53  ECHO 'S'
01:19:07  120.806     RX 54  ECHO 'T'
01:19:07  120.806     RX 20  ECHO ' '
01:19:07  120.806     RX c0  STATUS idle
01:19:10  123.560     RX c6  STATUS BUSY|BREAKIN
01:19:11  124.492     RX 52  ECHO 'R'
01:19:11  124.793     RX 20  ECHO ' '
01:19:11  125.274     RX c0  STATUS idle
01:19:12  126.014  TX 54 45 53 54 20   # text
01:19:12  126.120     RX 54  ECHO 'T'
01:19:12  126.125     RX 45  ECHO 'E'
01:19:12  126.130     RX 53  ECHO 'S'
01:19:12  126.138     RX 54  ECHO 'T'
01:19:12  126.142     RX c4  STATUS BUSY
01:19:12  126.391     RX 8d  POT 13
01:19:13  126.491     RX 8c  POT 12
01:19:13  126.733     RX 20  ECHO ' '
01:19:13  126.744     RX c0  STATUS idle
01:19:13  126.747     RX 8b  POT 11
01:19:13  127.106     RX 8c  POT 12
01:19:13  127.267     RX 8e  POT 14
01:19:13  127.312     RX 8f  POT 15
01:19:13  127.365     RX 91  POT 17
01:19:13  127.382     RX 92  POT 18
01:19:14  127.536     RX 93  POT 19
01:19:14  127.757     RX 94  POT 20
01:19:14  127.786     RX 95  POT 21
01:19:14  127.878     RX 96  POT 22
01:19:14  127.988     RX c6  STATUS BUSY|BREAKIN
01:19:14  128.078     RX 97  POT 23
01:19:15  128.862     RX 20  ECHO ' '
01:19:15  128.970     RX c0  STATUS idle
01:19:15  129.148     RX 96  POT 22
01:19:15  129.205     RX 95  POT 21
01:19:15  129.215     RX 94  POT 20
01:19:15  129.237     RX 92  POT 18
01:19:15  129.425     RX 91  POT 17
01:19:15  129.439     RX 8f  POT 15
01:19:16  129.477     RX 8d  POT 13
01:19:16  129.570     RX 8a  POT 10
01:19:16  129.668     RX 88  POT 8
01:19:16  129.688     RX 86  POT 6
01:19:16  129.689     RX 84  POT 4
01:19:16  129.732     RX 83  POT 3
01:19:16  129.908     RX 82  POT 2
01:19:16  130.093     RX 81  POT 1
01:19:16  130.289     RX 80  POT 0
01:19:16  130.346     RX 82  POT 2
01:19:16  130.396     RX 84  POT 4
01:19:17  130.444     RX 86  POT 6
01:19:17  130.547     RX 89  POT 9
01:19:17  130.602     RX 8b  POT 11
01:19:17  130.635     RX 8e  POT 14
01:19:17  130.792     RX 91  POT 17
01:19:17  130.808     RX 94  POT 20
01:19:17  130.900     RX 96  POT 22
01:19:17  130.992     RX 98  POT 24
01:19:17  131.029     RX 9a  POT 26
01:19:17  131.055     RX 9b  POT 27
01:19:17  131.113     RX 9c  POT 28
01:19:17  131.186     RX 9d  POT 29
01:19:17  131.254     RX 9c  POT 28
01:19:17  131.268     RX 9a  POT 26
01:19:17  131.355     RX 98  POT 24
01:19:17  131.385     RX 96  POT 22
01:19:18  131.460     RX 94  POT 20
01:19:18  131.498     RX 93  POT 19
01:19:18  131.511     RX 91  POT 17
01:19:18  131.511     RX 90  POT 16
01:19:18  131.591     RX 8f  POT 15
01:19:18  131.710     RX 8e  POT 14
01:19:18  131.736     RX 8d  POT 13
01:19:18  131.931     RX 8c  POT 12
01:19:18  131.953     RX 8b  POT 11
01:19:18  132.014  TX 54 45 53 54 20   # text
01:19:18  132.021     RX 8a  POT 10
01:19:18  132.138     RX 54  ECHO 'T'
01:19:18  132.145     RX 45  ECHO 'E'
01:19:18  132.148     RX 53  ECHO 'S'
01:19:18  132.168     RX 54  ECHO 'T'
01:19:18  132.173     RX c4  STATUS BUSY
01:19:18  132.200     RX 89  POT 9
01:19:18  132.430     RX 8a  POT 10
01:19:19  132.638     RX 8b  POT 11
01:19:19  132.684     RX 20  ECHO ' '
01:19:19  132.689     RX c0  STATUS idle
01:19:19  132.699     RX 8c  POT 12
01:19:19  132.727     RX 8d  POT 13
01:19:19  132.811     RX 8e  POT 14
01:19:19  132.892     RX 8f  POT 15
01:19:19  133.105     RX c6  STATUS BUSY|BREAKIN
01:19:19  133.305     RX 90  POT 16
01:19:20  134.414     RX 20  ECHO ' '
01:19:21  134.619     RX c0  STATUS idle
01:19:24  138.018  TX 54 45 53 54 20   # text
01:19:24  138.101     RX 54  ECHO 'T'
01:19:24  138.120     RX 45  ECHO 'E'
01:19:24  138.164     RX 53  ECHO 'S'
01:19:24  138.171     RX 54  ECHO 'T'
01:19:24  138.175     RX c4  STATUS BUSY
01:19:24  138.442     RX 20  ECHO ' '
01:19:25  138.450     RX c0  STATUS idle
01:19:25  139.066     RX c6  STATUS BUSY|BREAKIN
01:19:26  139.845     RX 20  ECHO ' '
01:19:26  140.034     RX c0  STATUS idle
01:19:27  141.437     RX 8f  POT 15
01:19:28  141.537     RX 8d  POT 13
01:19:28  141.603     RX 8c  POT 12
01:19:28  141.765     RX 8b  POT 11
01:19:28  141.858     RX 89  POT 9
01:19:28  141.871     RX 87  POT 7
01:19:28  141.923     RX 86  POT 6
01:19:28  141.991     RX 84  POT 4
01:19:28  142.053     RX 83  POT 3
01:19:28  142.090     RX 82  POT 2
01:19:28  142.091     RX 81  POT 1
01:19:28  142.282     RX 80  POT 0
